case,layout,seq_index,start,end,target,candidate,max_abs,mean_abs,rmse,ref_rms,rmse_ratio
varlen_mixed,varlen,3,0,1023,final_state,bf16_state,0.0009734372845524586,5.377085676792406e-05,0.00010601797008393352,0.06497075167965197,0.0016317799524110637
varlen_mixed,varlen,3,0,1023,final_state,fp32_state,4.2637735953032774e-08,1.5903571012767502e-09,3.26655987182158e-09,0.06497075167965197,5.0277390785439014e-08
varlen_stress,varlen,0,0,16,state_checkpoint,bf16_state,0.00048804628517160054,5.485336183781727e-05,8.657190857462112e-05,0.05239392664332042,0.0016523271707419925
varlen_stress,varlen,0,0,16,state_checkpoint,fp32_state,2.201660875833511e-08,1.4913462567726662e-09,2.4696663006275723e-09,0.05239392664332042,4.713649956874199e-08
varlen_stress,varlen,0,0,31,final_state,bf16_state,0.000488113184261757,6.971940728234456e-05,0.00010069186841018525,0.0608470117662433,0.0016548367041756204
varlen_stress,varlen,0,0,31,final_state,fp32_state,4.158284411248658e-08,3.5406254207945925e-09,5.213908123065001e-09,0.0608470117662433,8.56888115244728e-08
varlen_stress,varlen,1,0,16,state_checkpoint,bf16_state,0.0004877180326970376,6.712342904871516e-05,9.713152683370587e-05,0.05939456648198703,0.0016353604813861815
varlen_stress,varlen,1,0,16,state_checkpoint,fp32_state,3.258596732724772e-08,3.612386613420397e-09,5.273735216911473e-09,0.05939456648198703,8.879154322156511e-08
varlen_stress,varlen,1,0,64,state_checkpoint,bf16_state,0.0004872232325721926,7.017549383830735e-05,0.00010211186330937252,0.061185264730943795,0.0016688963226423785
varlen_stress,varlen,1,0,64,state_checkpoint,fp32_state,3.735278568395284e-08,3.4498172915645105e-09,5.108336005385637e-09,0.061185264730943795,8.348964457127127e-08
varlen_stress,varlen,1,0,128,final_state,bf16_state,0.0004874753348988736,7.044448874776029e-05,9.982373080417879e-05,0.059414110751811626,0.0016801350645668802
varlen_stress,varlen,1,0,128,final_state,fp32_state,3.312084120854486e-08,3.147187912788186e-09,4.57727879465261e-09,0.059414110751811626,7.704026428625866e-08
varlen_stress,varlen,2,0,16,state_checkpoint,bf16_state,0.000484582646184728,6.545080390444978e-05,9.713674009527336e-05,0.05882503863121614,0.0016512822151165864
varlen_stress,varlen,2,0,16,state_checkpoint,fp32_state,2.966503875878601e-08,3.21407449937447e-09,4.6691796323624196e-09,0.05882503863121614,7.937401727237744e-08
varlen_stress,varlen,2,0,64,state_checkpoint,bf16_state,0.000484445600816924,6.527627928682166e-05,9.306597663554574e-05,0.05680430258659197,0.0016383613986577302
varlen_stress,varlen,2,0,64,state_checkpoint,fp32_state,2.982659622063899e-08,3.050503024984202e-09,4.4220232973466004e-09,0.05680430258659197,7.784662597706763e-08
varlen_stress,varlen,2,0,256,state_checkpoint,bf16_state,0.0004845640882419344,6.855128087558042e-05,9.839575009347087e-05,0.059650576372101034,0.0016495356135316607
varlen_stress,varlen,2,0,256,state_checkpoint,fp32_state,2.8341670899045823e-08,3.406755456653385e-09,4.948781167571774e-09,0.059650576372101034,8.296283906296589e-08
varlen_stress,varlen,2,0,511,final_state,bf16_state,0.0004783402946369475,5.355548988295139e-05,8.227826559895281e-05,0.050915020672966625,0.001615991990407627
varlen_stress,varlen,2,0,511,final_state,fp32_state,2.0453758631244767e-08,1.590758900761703e-09,2.6329713379281616e-09,0.050915020672966625,5.171305644438518e-08
varlen_stress,varlen,3,0,16,state_checkpoint,bf16_state,0.00048442056359845886,5.1549764932643164e-05,8.320116355242867e-05,0.05092570743459745,0.0016337753119930979
varlen_stress,varlen,3,0,16,state_checkpoint,fp32_state,2.451612624021493e-08,1.5040359788522046e-09,2.615872115094569e-09,0.05092570743459745,5.1366436459504566e-08
varlen_stress,varlen,3,0,64,state_checkpoint,bf16_state,0.0004877786250171712,5.112021146497624e-05,8.00849926714808e-05,0.04868342250621901,0.0016450156654711453
varlen_stress,varlen,3,0,64,state_checkpoint,fp32_state,2.022476500163073e-08,1.4966761752153274e-09,2.5022287772911397e-09,0.04868342250621901,5.139796358753322e-08
varlen_stress,varlen,3,0,256,state_checkpoint,bf16_state,0.000485816700590308,5.081200134483004e-05,8.07525989568325e-05,0.048686641130848356,0.001658619224517972
varlen_stress,varlen,3,0,256,state_checkpoint,fp32_state,2.2832405244255227e-08,1.5054445796719731e-09,2.571432533287417e-09,0.048686641130848356,5.281597731041937e-08
varlen_stress,varlen,3,0,1024,state_checkpoint,bf16_state,0.00048807800965292025,5.7270432038931756e-05,8.656046190957926e-05,0.05366412326001599,0.0016130043062507953
varlen_stress,varlen,3,0,1024,state_checkpoint,fp32_state,2.0299509906340774e-08,1.6159382061617647e-09,2.6067872603876756e-09,0.05366412326001599,4.857597780470846e-08
varlen_stress,varlen,3,0,2048,final_state,bf16_state,0.0004850257887122622,5.735310821955482e-05,8.765965841015677e-05,0.05433038267062434,0.0016134555676073508
varlen_stress,varlen,3,0,2048,final_state,fp32_state,2.2750668793314333e-08,1.6411128970386397e-09,2.6546463488360094e-09,0.05433038267062434,4.8861175245712727e-08
